Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,4840.48
Elapsed Live Time:,4838.53
Start Time:,januari 07, 2026, 02:13:40
End Time:,januari 07, 2026, 03:34:21
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,1
16,,262
17,,569
18,,585
19,,641
20,,624
21,,726
22,,689
23,,785
24,,823
25,,951
26,,978
27,,1159
28,,1136
29,,1187
30,,1329
31,,1382
32,,1425
33,,1531
34,,1540
35,,1671
36,,1661
37,,1709
38,,1748
39,,1708
40,,1805
41,,1799
42,,1709
43,,1847
44,,1833
45,,1818
46,,1825
47,,1819
48,,1793
49,,1751
50,,1773
51,,1806
52,,1732
53,,1794
54,,1728
55,,1645
56,,1816
57,,1775
58,,1726
59,,1659
60,,1650
61,,1573
62,,1626
63,,1597
64,,1671
65,,1546
66,,1501
67,,1531
68,,1534
69,,1490
70,,1519
71,,1400
72,,1453
73,,1399
74,,1389
75,,1294
76,,1286
77,,1340
78,,1262
79,,1212
80,,1184
81,,1215
82,,1151
83,,1170
84,,1148
85,,1093
86,,1144
87,,1104
88,,1070
89,,1011
90,,1001
91,,1008
92,,1005
93,,1038
94,,1006
95,,941
96,,900
97,,932
98,,877
99,,891
100,,837
101,,825
102,,825
103,,820
104,,853
105,,827
106,,768
107,,816
108,,800
109,,778
110,,751
111,,679
112,,747
113,,676
114,,730
115,,678
116,,693
117,,680
118,,638
119,,619
120,,644
121,,599
122,,600
123,,541
124,,549
125,,547
126,,542
127,,530
128,,533
129,,480
130,,478
131,,499
132,,446
133,,427
134,,421
135,,441
136,,449
137,,458
138,,424
139,,415
140,,414
141,,424
142,,395
143,,416
144,,337
145,,363
146,,419
147,,370
148,,351
149,,327
150,,352
151,,330
152,,315
153,,310
154,,310
155,,295
156,,296
157,,327
158,,292
159,,300
160,,310
161,,342
162,,298
163,,306
164,,305
165,,292
166,,281
167,,312
168,,284
169,,263
170,,260
171,,273
172,,246
173,,245
174,,262
175,,218
176,,255
177,,221
178,,209
179,,225
180,,216
181,,216
182,,191
183,,207
184,,187
185,,183
186,,197
187,,187
188,,189
189,,165
190,,171
191,,180
192,,172
193,,182
194,,154
195,,152
196,,149
197,,179
198,,159
199,,148
200,,185
201,,171
202,,163
203,,170
204,,145
205,,153
206,,145
207,,146
208,,131
209,,139
210,,133
211,,141
212,,136
213,,144
214,,154
215,,137
216,,122
217,,134
218,,134
219,,140
220,,123
221,,112
222,,124
223,,137
224,,147
225,,126
226,,134
227,,120
228,,137
229,,117
230,,114
231,,118
232,,153
233,,111
234,,120
235,,127
236,,139
237,,139
238,,110
239,,114
240,,124
241,,113
242,,124
243,,117
244,,87
245,,113
246,,90
247,,105
248,,103
249,,112
250,,90
251,,116
252,,129
253,,109
254,,96
255,,113
256,,99
257,,114
258,,113
259,,117
260,,111
261,,132
262,,136
263,,118
264,,124
265,,118
266,,112
267,,115
268,,122
269,,105
270,,127
271,,116
272,,112
273,,96
274,,84
275,,96
276,,93
277,,89
278,,95
279,,92
280,,102
281,,97
282,,92
283,,90
284,,83
285,,91
286,,84
287,,91
288,,65
289,,75
290,,77
291,,62
292,,61
293,,65
294,,63
295,,68
296,,56
297,,73
298,,52
299,,51
300,,57
301,,78
302,,74
303,,64
304,,63
305,,67
306,,69
307,,70
308,,55
309,,69
310,,66
311,,67
312,,62
313,,72
314,,70
315,,73
316,,62
317,,61
318,,57
319,,57
320,,64
321,,72
322,,65
323,,63
324,,61
325,,78
326,,71
327,,59
328,,55
329,,64
330,,50
331,,72
332,,57
333,,68
334,,49
335,,64
336,,55
337,,58
338,,61
339,,71
340,,59
341,,61
342,,62
343,,49
344,,62
345,,56
346,,51
347,,42
348,,60
349,,58
350,,65
351,,62
352,,57
353,,55
354,,63
355,,57
356,,50
357,,46
358,,43
359,,43
360,,60
361,,40
