Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,7422.18
Elapsed Live Time:,7418.99
Start Time:,januari 08, 2026, 10:59:03
End Time:,januari 08, 2026, 01:02:45
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,3
16,,571
17,,1308
18,,1421
19,,1451
20,,1670
21,,1782
22,,1875
23,,1930
24,,2161
25,,2249
26,,2383
27,,2585
28,,2656
29,,2778
30,,2876
31,,3028
32,,3082
33,,3141
34,,3182
35,,3255
36,,3253
37,,3321
38,,3360
39,,3300
40,,3212
41,,3185
42,,3285
43,,3229
44,,3393
45,,3206
46,,3185
47,,3054
48,,3081
49,,3146
50,,3140
51,,2979
52,,3005
53,,2961
54,,2925
55,,2825
56,,2826
57,,2934
58,,2866
59,,2736
60,,2729
61,,2674
62,,2590
63,,2621
64,,2471
65,,2469
66,,2393
67,,2399
68,,2326
69,,2243
70,,2241
71,,2220
72,,2227
73,,2087
74,,2136
75,,2057
76,,2011
77,,1955
78,,1972
79,,1891
80,,1816
81,,1827
82,,1797
83,,1733
84,,1782
85,,1675
86,,1633
87,,1615
88,,1578
89,,1559
90,,1636
91,,1452
92,,1476
93,,1518
94,,1389
95,,1366
96,,1380
97,,1369
98,,1330
99,,1263
100,,1214
101,,1256
102,,1225
103,,1194
104,,1216
105,,1149
106,,1165
107,,1120
108,,1130
109,,1112
110,,1124
111,,1072
112,,990
113,,1033
114,,1045
115,,965
116,,917
117,,930
118,,940
119,,912
120,,908
121,,896
122,,859
123,,855
124,,811
125,,741
126,,711
127,,708
128,,743
129,,688
130,,641
131,,691
132,,672
133,,675
134,,654
135,,629
136,,571
137,,625
138,,600
139,,615
140,,616
141,,543
142,,562
143,,572
144,,539
145,,507
146,,514
147,,531
148,,490
149,,527
150,,472
151,,490
152,,496
153,,470
154,,485
155,,447
156,,442
157,,446
158,,445
159,,418
160,,436
161,,435
162,,423
163,,406
164,,404
165,,408
166,,382
167,,401
168,,379
169,,377
170,,408
171,,351
172,,368
173,,376
174,,365
175,,315
176,,333
177,,312
178,,311
179,,288
180,,308
181,,249
182,,297
183,,307
184,,283
185,,260
186,,271
187,,251
188,,251
189,,262
190,,234
191,,249
192,,219
193,,250
194,,257
195,,242
196,,232
197,,230
198,,242
199,,245
200,,209
201,,227
202,,221
203,,203
204,,222
205,,211
206,,225
207,,231
208,,205
209,,210
210,,204
211,,189
212,,196
213,,206
214,,188
215,,183
216,,182
217,,204
218,,196
219,,219
220,,199
221,,209
222,,193
223,,201
224,,190
225,,182
226,,138
227,,202
228,,192
229,,193
230,,207
231,,169
232,,187
233,,172
234,,177
235,,191
236,,158
237,,174
238,,175
239,,168
240,,166
241,,207
242,,158
243,,172
244,,154
245,,181
246,,151
247,,161
248,,157
249,,165
250,,134
251,,141
252,,152
253,,155
254,,157
255,,159
256,,150
257,,176
258,,144
259,,183
260,,147
261,,142
262,,167
263,,168
264,,168
265,,150
266,,144
267,,154
268,,161
269,,135
270,,157
271,,140
272,,136
273,,155
274,,136
275,,138
276,,124
277,,149
278,,138
279,,128
280,,98
281,,138
282,,110
283,,131
284,,106
285,,119
286,,113
287,,88
288,,110
289,,102
290,,88
291,,119
292,,120
293,,98
294,,95
295,,92
296,,107
297,,105
298,,97
299,,96
300,,81
301,,100
302,,86
303,,108
304,,94
305,,99
306,,98
307,,100
308,,109
309,,104
310,,73
311,,83
312,,86
313,,88
314,,82
315,,94
316,,91
317,,84
318,,98
319,,99
320,,105
321,,89
322,,93
323,,91
324,,87
325,,80
326,,90
327,,88
328,,89
329,,91
330,,85
331,,83
332,,93
333,,88
334,,85
335,,94
336,,83
337,,84
338,,84
339,,74
340,,74
341,,84
342,,89
343,,82
344,,79
345,,72
346,,76
347,,82
348,,79
349,,70
350,,81
351,,92
352,,67
353,,82
354,,76
355,,73
