Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,4835.97
Elapsed Live Time:,4831.5
Start Time:,januari 08, 2026, 01:07:13
End Time:,januari 08, 2026, 02:27:47
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,453
17,,1367
18,,1427
19,,1459
20,,1585
21,,1627
22,,1701
23,,1781
24,,1891
25,,1881
26,,2088
27,,2221
28,,2349
29,,2525
30,,2644
31,,2698
32,,2697
33,,2827
34,,2892
35,,2963
36,,2998
37,,3233
38,,3108
39,,3150
40,,3117
41,,3175
42,,3254
43,,3195
44,,3270
45,,3243
46,,3251
47,,3174
48,,3232
49,,3151
50,,3144
51,,3208
52,,3113
53,,3081
54,,3164
55,,2994
56,,3040
57,,3022
58,,3004
59,,2885
60,,2886
61,,2887
62,,2837
63,,2820
64,,2766
65,,2733
66,,2707
67,,2692
68,,2787
69,,2661
70,,2663
71,,2533
72,,2465
73,,2515
74,,2297
75,,2412
76,,2442
77,,2287
78,,2219
79,,2182
80,,2087
81,,2163
82,,2048
83,,2096
84,,2045
85,,2015
86,,1951
87,,1959
88,,2014
89,,1882
90,,1754
91,,1764
92,,1839
93,,1737
94,,1756
95,,1695
96,,1672
97,,1650
98,,1672
99,,1648
100,,1690
101,,1578
102,,1646
103,,1586
104,,1609
105,,1660
106,,1585
107,,1604
108,,1585
109,,1520
110,,1483
111,,1475
112,,1480
113,,1431
114,,1410
115,,1455
116,,1392
117,,1418
118,,1331
119,,1283
120,,1242
121,,1257
122,,1190
123,,1214
124,,1201
125,,1189
126,,1114
127,,1084
128,,1171
129,,1160
130,,1091
131,,1116
132,,1011
133,,1034
134,,963
135,,1003
136,,979
137,,883
138,,930
139,,987
140,,966
141,,894
142,,890
143,,876
144,,888
145,,832
146,,807
147,,797
148,,794
149,,777
150,,771
151,,826
152,,785
153,,725
154,,717
155,,735
156,,744
157,,691
158,,692
159,,721
160,,654
161,,670
162,,718
163,,670
164,,679
165,,627
166,,654
167,,621
168,,600
169,,634
170,,614
171,,598
172,,585
173,,544
174,,564
175,,565
176,,538
177,,579
178,,529
179,,549
180,,547
181,,524
182,,522
183,,538
184,,546
185,,477
186,,542
187,,512
188,,463
189,,467
190,,471
191,,436
192,,505
193,,494
194,,497
195,,484
196,,471
197,,480
198,,473
199,,481
200,,515
201,,471
202,,492
203,,448
204,,435
205,,473
206,,482
207,,412
208,,436
209,,450
210,,440
211,,465
212,,426
213,,401
214,,440
215,,375
216,,417
217,,440
218,,437
219,,398
220,,414
221,,391
222,,414
223,,402
224,,380
225,,383
226,,376
227,,395
228,,397
229,,410
230,,400
231,,394
232,,401
233,,387
234,,341
235,,383
236,,394
237,,397
238,,380
239,,370
240,,331
241,,382
242,,403
243,,348
244,,352
245,,346
246,,408
247,,348
248,,377
249,,350
250,,364
251,,345
252,,350
253,,377
254,,345
255,,368
256,,355
257,,372
258,,356
259,,360
260,,371
261,,331
262,,389
263,,404
264,,370
265,,362
266,,353
267,,332
268,,317
269,,353
270,,295
271,,317
272,,308
273,,346
274,,338
275,,335
276,,349
277,,343
278,,344
279,,315
280,,341
281,,332
282,,301
283,,290
284,,343
285,,301
286,,283
287,,302
288,,313
289,,295
290,,301
291,,315
292,,278
293,,319
294,,308
295,,295
296,,281
297,,291
298,,283
299,,328
300,,274
301,,295
302,,278
303,,283
304,,296
305,,266
306,,293
307,,293
308,,299
309,,302
310,,263
311,,293
312,,293
313,,306
314,,290
315,,296
316,,302
317,,298
318,,281
319,,275
320,,306
321,,301
322,,301
323,,313
324,,292
325,,302
326,,281
327,,250
328,,287
329,,302
330,,296
331,,284
332,,285
333,,317
334,,279
335,,266
336,,259
337,,279
338,,302
339,,299
340,,284
341,,288
342,,294
343,,266
344,,320
345,,284
346,,307
347,,308
348,,274
349,,277
350,,267
351,,292
