Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,7289.03
Elapsed Live Time:,7285.63
Start Time:,januari 15, 2026, 10:08:54
End Time:,januari 15, 2026, 12:10:23
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,3
16,,508
17,,1154
18,,1194
19,,1231
20,,1354
21,,1419
22,,1523
23,,1675
24,,1789
25,,1780
26,,2054
27,,2231
28,,2422
29,,2443
30,,2559
31,,2790
32,,2935
33,,3038
34,,3223
35,,3279
36,,3368
37,,3338
38,,3375
39,,3237
40,,3342
41,,3139
42,,3306
43,,3254
44,,3299
45,,3229
46,,3132
47,,3165
48,,3103
49,,3046
50,,3064
51,,3041
52,,2946
53,,2939
54,,2838
55,,2917
56,,2934
57,,2913
58,,2765
59,,2861
60,,2762
61,,2861
62,,2652
63,,2587
64,,2754
65,,2648
66,,2610
67,,2475
68,,2553
69,,2471
70,,2529
71,,2276
72,,2306
73,,2196
74,,2217
75,,2183
76,,2163
77,,2084
78,,1992
79,,1988
80,,1977
81,,2058
82,,1910
83,,1857
84,,1837
85,,1817
86,,1905
87,,1797
88,,1725
89,,1814
90,,1695
91,,1669
92,,1693
93,,1650
94,,1581
95,,1542
96,,1539
97,,1565
98,,1534
99,,1560
100,,1491
101,,1469
102,,1469
103,,1393
104,,1425
105,,1402
106,,1282
107,,1356
108,,1321
109,,1361
110,,1357
111,,1356
112,,1385
113,,1331
114,,1274
115,,1393
116,,1316
117,,1315
118,,1168
119,,1157
120,,1121
121,,1058
122,,1013
123,,996
124,,931
125,,894
126,,865
127,,872
128,,847
129,,868
130,,842
131,,757
132,,828
133,,745
134,,747
135,,746
136,,776
137,,701
138,,685
139,,737
140,,716
141,,649
142,,655
143,,675
144,,688
145,,673
146,,624
147,,673
148,,605
149,,597
150,,598
151,,571
152,,551
153,,554
154,,566
155,,574
156,,550
157,,548
158,,530
159,,493
160,,557
161,,495
162,,497
163,,557
164,,563
165,,570
166,,505
167,,533
168,,522
169,,476
170,,473
171,,434
172,,460
173,,429
174,,382
175,,377
176,,378
177,,383
178,,379
179,,350
180,,324
181,,340
182,,332
183,,302
184,,310
185,,349
186,,318
187,,305
188,,290
189,,311
190,,287
191,,300
192,,277
193,,269
194,,281
195,,310
196,,304
197,,246
198,,283
199,,267
200,,278
201,,292
202,,255
203,,255
204,,264
205,,247
206,,276
207,,259
208,,240
209,,221
210,,235
211,,249
212,,253
213,,243
214,,259
215,,220
216,,236
217,,224
218,,243
219,,222
220,,229
221,,282
222,,224
223,,201
224,,247
225,,216
226,,228
227,,209
228,,231
229,,227
230,,240
231,,205
232,,224
233,,251
234,,224
235,,199
236,,237
237,,207
238,,213
239,,246
240,,212
241,,206
242,,208
243,,212
244,,195
245,,204
246,,195
247,,160
248,,223
249,,184
250,,223
251,,223
252,,208
253,,202
254,,225
255,,194
256,,225
257,,219
258,,221
259,,244
260,,224
261,,246
262,,228
263,,255
264,,246
265,,244
266,,246
267,,239
268,,230
269,,219
270,,200
271,,231
272,,239
273,,210
274,,192
275,,171
276,,183
277,,184
278,,165
279,,145
280,,166
281,,154
282,,164
283,,155
284,,141
285,,147
286,,148
287,,123
288,,121
289,,120
290,,118
291,,101
292,,92
293,,123
294,,137
295,,120
296,,140
297,,110
298,,124
299,,108
300,,121
301,,121
302,,113
303,,123
304,,128
305,,130
306,,120
307,,116
308,,119
309,,107
310,,107
311,,90
312,,119
313,,115
314,,114
315,,132
316,,137
317,,120
318,,98
319,,112
320,,120
321,,110
322,,114
323,,118
324,,129
325,,105
326,,129
327,,133
328,,103
329,,126
330,,113
331,,113
332,,100
333,,97
334,,84
335,,97
336,,105
337,,96
338,,115
339,,91
340,,98
341,,85
342,,117
343,,91
344,,83
345,,105
346,,102
347,,104
348,,93
349,,95
350,,109
351,,98
352,,81
353,,83
