Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,4202.41
Elapsed Live Time:,4196.27
Start Time:,januari 14, 2026, 12:43:12
End Time:,januari 14, 2026, 01:14:20
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,1
16,,735
17,,1771
18,,1804
19,,1790
20,,1921
21,,2011
22,,2315
23,,2542
24,,3018
25,,3650
26,,4493
27,,5023
28,,5261
29,,4896
30,,4427
31,,3948
32,,3792
33,,3660
34,,3340
35,,3152
36,,3013
37,,2975
38,,2877
39,,2836
40,,2804
41,,2717
42,,2800
43,,2772
44,,2867
45,,2866
46,,2882
47,,2768
48,,2821
49,,2690
50,,2702
51,,2697
52,,2751
53,,2717
54,,2786
55,,2694
56,,2589
57,,2720
58,,2719
59,,2806
60,,2849
61,,2887
62,,2946
63,,2745
64,,2833
65,,2842
66,,2741
67,,2605
68,,2816
69,,2578
70,,2683
71,,2696
72,,2590
73,,2537
74,,2597
75,,2590
76,,2498
77,,2546
78,,2425
79,,2383
80,,2427
81,,2366
82,,2417
83,,2414
84,,2401
85,,2326
86,,2313
87,,2259
88,,2393
89,,2435
90,,2401
91,,2290
92,,2400
93,,2303
94,,2398
95,,2358
96,,2490
97,,2446
98,,2490
99,,2540
100,,2555
101,,2603
102,,2578
103,,2585
104,,2741
105,,2706
106,,2839
107,,2983
108,,3120
109,,3376
110,,3716
111,,4180
112,,4457
113,,4681
114,,4841
115,,5275
116,,5050
117,,5015
118,,4767
119,,4455
120,,4099
121,,3664
122,,3363
123,,3069
124,,2625
125,,2367
126,,2087
127,,1969
128,,1953
129,,1760
130,,1818
131,,1784
132,,1586
133,,1732
134,,1564
135,,1679
136,,1525
137,,1538
138,,1544
139,,1534
140,,1463
141,,1526
142,,1445
143,,1479
144,,1553
145,,1424
146,,1399
147,,1435
148,,1466
149,,1467
150,,1526
151,,1480
152,,1490
153,,1589
154,,1633
155,,1586
156,,1631
157,,1692
158,,1767
159,,1713
160,,1768
161,,1802
162,,1689
163,,1630
164,,1526
165,,1622
166,,1374
167,,1371
168,,1316
169,,1182
170,,1187
171,,1057
172,,954
173,,955
174,,955
175,,793
176,,819
177,,824
178,,843
179,,825
180,,796
181,,800
182,,803
183,,804
184,,763
185,,777
186,,851
187,,767
188,,756
189,,773
190,,735
191,,776
192,,746
193,,745
194,,770
195,,745
196,,726
197,,704
198,,734
199,,686
200,,727
201,,703
202,,673
203,,728
204,,748
205,,735
206,,723
207,,749
208,,719
209,,716
210,,746
211,,805
212,,772
213,,777
214,,756
215,,765
216,,766
217,,813
218,,775
219,,776
220,,747
221,,767
222,,771
223,,776
224,,784
225,,779
226,,835
227,,823
228,,794
229,,887
230,,867
231,,875
232,,800
233,,895
234,,850
235,,837
236,,826
237,,792
238,,767
239,,775
240,,757
241,,735
242,,762
243,,709
244,,799
245,,782
246,,761
247,,760
248,,804
249,,828
250,,920
251,,941
252,,1010
253,,1020
254,,1062
255,,1105
256,,1197
257,,1148
258,,1222
259,,1241
260,,1269
261,,1304
262,,1163
263,,1152
264,,1180
265,,1076
266,,1080
267,,920
268,,893
269,,905
270,,789
271,,730
272,,727
273,,646
274,,589
275,,556
276,,573
277,,473
278,,497
279,,471
280,,436
281,,415
282,,426
283,,391
284,,441
285,,412
286,,431
287,,404
288,,422
289,,413
290,,400
291,,430
292,,421
293,,406
294,,420
295,,398
296,,387
297,,429
298,,416
299,,418
300,,412
301,,450
302,,415
303,,429
304,,443
305,,418
306,,464
307,,453
308,,466
309,,471
310,,434
311,,469
312,,459
313,,486
314,,435
315,,468
316,,466
317,,453
318,,473
319,,455
320,,425
321,,401
322,,416
323,,403
324,,401
325,,338
326,,372
327,,395
328,,376
329,,364
330,,376
331,,345
332,,356
333,,346
334,,374
335,,388
336,,340
337,,339
338,,352
339,,353
340,,311
