Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,3640.82
Elapsed Live Time:,3638.1
Start Time:,januari 14, 2026, 03:05:24
End Time:,januari 14, 2026, 04:06:05
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,1
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,354
17,,1001
18,,1117
19,,1145
20,,1339
21,,1401
22,,1514
23,,1730
24,,1823
25,,2053
26,,2401
27,,2815
28,,3397
29,,3742
30,,3972
31,,3576
32,,3520
33,,2932
34,,2571
35,,2438
36,,2287
37,,2323
38,,2557
39,,2604
40,,2839
41,,3156
42,,3538
43,,3893
44,,4296
45,,4416
46,,4309
47,,4016
48,,3526
49,,2930
50,,2583
51,,2356
52,,2113
53,,2015
54,,2018
55,,1953
56,,2046
57,,1842
58,,1824
59,,1758
60,,1673
61,,1622
62,,1565
63,,1531
64,,1581
65,,1572
66,,1569
67,,1619
68,,1560
69,,1611
70,,1550
71,,1536
72,,1474
73,,1504
74,,1391
75,,1448
76,,1327
77,,1301
78,,1295
79,,1301
80,,1249
81,,1257
82,,1250
83,,1309
84,,1335
85,,1309
86,,1368
87,,1457
88,,1606
89,,1618
90,,1617
91,,1606
92,,1606
93,,1489
94,,1460
95,,1324
96,,1182
97,,1083
98,,1010
99,,1001
100,,937
101,,908
102,,857
103,,829
104,,771
105,,741
106,,777
107,,693
108,,701
109,,680
110,,699
111,,656
112,,698
113,,590
114,,647
115,,610
116,,617
117,,571
118,,577
119,,571
120,,521
121,,569
122,,523
123,,544
124,,539
125,,459
126,,522
127,,480
128,,460
129,,488
130,,507
131,,441
132,,438
133,,426
134,,388
135,,395
136,,440
137,,368
138,,406
139,,405
140,,378
141,,397
142,,396
143,,367
144,,367
145,,333
146,,357
147,,340
148,,337
149,,332
150,,352
151,,331
152,,357
153,,316
154,,319
155,,308
156,,296
157,,315
158,,331
159,,307
160,,316
161,,284
162,,317
163,,287
164,,302
165,,278
166,,259
167,,266
168,,283
169,,271
170,,294
171,,270
172,,255
173,,247
174,,263
175,,250
176,,243
177,,238
178,,230
179,,229
180,,203
181,,202
182,,231
183,,226
184,,224
185,,206
186,,199
187,,202
188,,198
189,,215
190,,205
191,,211
192,,185
193,,182
194,,194
195,,201
196,,195
197,,222
198,,195
199,,188
200,,203
201,,198
202,,194
203,,179
204,,203
205,,182
206,,187
207,,181
208,,174
209,,152
210,,167
211,,186
212,,163
213,,181
214,,184
215,,176
216,,189
217,,164
218,,181
219,,158
220,,157
221,,180
222,,141
223,,173
224,,157
225,,173
226,,152
227,,170
228,,206
229,,183
230,,144
231,,174
232,,182
233,,180
234,,156
235,,144
236,,161
237,,172
238,,165
239,,140
240,,164
241,,158
242,,130
243,,136
244,,151
245,,142
246,,163
247,,167
248,,154
249,,124
250,,157
251,,145
252,,150
253,,132
254,,165
255,,144
256,,159
257,,150
258,,127
259,,135
260,,140
261,,179
262,,155
263,,139
264,,159
265,,143
266,,143
267,,136
268,,144
269,,139
270,,148
271,,127
272,,130
273,,144
274,,130
275,,137
276,,148
277,,128
278,,113
279,,121
280,,113
281,,110
282,,132
283,,106
284,,115
285,,92
286,,116
287,,101
288,,119
289,,119
290,,128
291,,105
292,,109
293,,119
294,,115
295,,113
296,,120
297,,106
298,,137
299,,112
300,,111
301,,102
302,,105
303,,86
304,,112
305,,112
306,,126
307,,124
308,,114
309,,104
310,,115
311,,110
312,,122
313,,104
314,,114
315,,116
316,,106
317,,119
318,,112
319,,111
320,,99
321,,114
322,,127
323,,112
324,,101
325,,111
326,,109
327,,106
328,,109
329,,90
330,,107
331,,89
332,,108
333,,88
334,,110
335,,90
336,,104
337,,100
338,,109
339,,83
340,,104
341,,72
342,,108
343,,84
344,,76
345,,87
346,,77
347,,100
348,,81
349,,100
350,,100
351,,101
352,,76
353,,93
354,,72
355,,97
356,,82
357,,72
358,,87
