Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,3672.83
Elapsed Live Time:,3671.48
Start Time:,januari 14, 2026, 01:58:34
End Time:,januari 14, 2026, 02:59:47
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,133
17,,334
18,,358
19,,382
20,,385
21,,398
22,,496
23,,508
24,,552
25,,570
26,,586
27,,652
28,,712
29,,772
30,,846
31,,869
32,,894
33,,948
34,,1009
35,,1083
36,,1103
37,,1113
38,,1184
39,,1149
40,,1149
41,,1169
42,,1162
43,,1256
44,,1299
45,,1197
46,,1240
47,,1242
48,,1242
49,,1249
50,,1193
51,,1285
52,,1291
53,,1253
54,,1203
55,,1245
56,,1232
57,,1179
58,,1234
59,,1243
60,,1205
61,,1221
62,,1147
63,,1104
64,,1098
65,,1186
66,,1133
67,,1055
68,,1050
69,,1082
70,,1054
71,,981
72,,1098
73,,1009
74,,1019
75,,960
76,,943
77,,922
78,,923
79,,911
80,,909
81,,846
82,,864
83,,860
84,,833
85,,845
86,,774
87,,746
88,,804
89,,795
90,,792
91,,726
92,,722
93,,690
94,,716
95,,685
96,,669
97,,682
98,,666
99,,629
100,,664
101,,575
102,,601
103,,572
104,,587
105,,552
106,,573
107,,520
108,,571
109,,544
110,,576
111,,511
112,,510
113,,528
114,,513
115,,453
116,,451
117,,462
118,,458
119,,470
120,,439
121,,430
122,,423
123,,431
124,,386
125,,391
126,,329
127,,351
128,,378
129,,342
130,,341
131,,334
132,,335
133,,303
134,,326
135,,318
136,,300
137,,305
138,,293
139,,298
140,,288
141,,303
142,,296
143,,283
144,,262
145,,286
146,,277
147,,266
148,,243
149,,262
150,,234
151,,228
152,,246
153,,235
154,,220
155,,232
156,,231
157,,224
158,,210
159,,200
160,,230
161,,200
162,,227
163,,213
164,,222
165,,209
166,,210
167,,228
168,,172
169,,179
170,,188
171,,174
172,,178
173,,184
174,,167
175,,157
176,,171
177,,165
178,,154
179,,153
180,,130
181,,144
182,,153
183,,112
184,,118
185,,133
186,,123
187,,138
188,,130
189,,117
190,,144
191,,129
192,,127
193,,124
194,,119
195,,121
196,,112
197,,116
198,,115
199,,118
200,,120
201,,91
202,,107
203,,116
204,,94
205,,100
206,,112
207,,110
208,,105
209,,116
210,,79
211,,117
212,,108
213,,101
214,,85
215,,93
216,,97
217,,110
218,,105
219,,82
220,,104
221,,98
222,,84
223,,91
224,,102
225,,87
226,,107
227,,86
228,,96
229,,92
230,,93
231,,105
232,,96
233,,89
234,,68
235,,84
236,,92
237,,90
238,,90
239,,97
240,,82
241,,68
242,,87
243,,75
244,,84
245,,78
246,,69
247,,73
248,,73
249,,69
250,,73
251,,88
252,,82
253,,81
254,,82
255,,67
256,,84
257,,70
258,,89
259,,69
260,,83
261,,85
262,,78
263,,86
264,,100
265,,83
266,,62
267,,96
268,,77
269,,76
270,,66
271,,88
272,,75
273,,77
274,,81
275,,60
276,,72
277,,77
278,,59
279,,73
280,,58
281,,54
282,,50
283,,57
284,,70
285,,50
286,,47
287,,56
288,,49
289,,54
290,,39
291,,55
292,,39
293,,32
294,,67
295,,58
296,,48
297,,45
298,,51
299,,47
300,,52
301,,62
302,,40
303,,52
304,,41
305,,60
306,,40
307,,40
308,,54
309,,56
310,,45
311,,38
312,,53
313,,48
314,,53
315,,48
316,,44
317,,45
318,,32
319,,46
320,,43
321,,54
322,,49
323,,52
324,,45
325,,49
326,,37
327,,32
328,,40
329,,42
330,,41
331,,36
332,,31
333,,38
334,,50
335,,42
336,,37
337,,52
338,,46
339,,38
340,,33
341,,45
342,,49
343,,34
344,,31
345,,48
346,,39
347,,48
348,,35
349,,31
350,,45
351,,27
352,,44
353,,28
354,,40
355,,36
356,,42
357,,42
358,,32
359,,31
360,,38
361,,46
362,,45
363,,33
364,,32
365,,40
366,,47
